comp_id,smiles,quote_id,quote_entry,quote_price_USD,quote_amount_mg,quote_catalogue,tags,#curated YES,#curated NO,#curated INTERESTING
12483,NC=1C=C(C=CN1)NCC2=CNC=N2,211,Z1633496113,125.0,5.0,sRDB,Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Knitwork impure merge; Knitwork pure merge; DF curated YES; Primer grip/N-pocket merge,1,0,1
17585,CC=1C=NC=CC1NCC2=CN=CS2,212,Z1713605135,125.0,5.0,sRDB,Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; Fragmenstein; Knitwork impure merge; Knitwork pure merge; Primer grip/N-pocket merge; Thumb Site 2 merge; Fragmenstein pure merge; DF curated INTERESTING,0,0,1
10197,OC1(CNCC2=CC=NN2)CCOC1,213,Z2582855536,125.0,5.0,sRDB,Knitwork pure merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Fragmenstein; Primer grip/N-pocket merge,0,0,1
10237,CC1(CNCC2=CC=NN2)CCOC1,214,Z2582856813,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Fragmenstein; Primer grip/N-pocket merge,0,0,1
18302,FC=1C=NC=CC1NCC2=CC=NN2,215,Z2754114695,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; Primer grip/N-pocket merge; Fragmenstein pure merge; DF curated INTERESTING,0,0,1
6543,CC(NS(=O)(=O)CC#N)C=1C=CC=CN1,216,Z871802814,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; Knitwork impure merge; DF curated INTERESTING,0,0,1
28593,C1=CC=2C(=CC=CC2N1)C=3C=CN=CC3,217,Z1255358308,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; RdRp_knitwork_green_site_rna_tunnel_impure_fragalysis.sdf Pose OK; Fragmenstein placed; acceptable; Knitwork impure merge; JA curated INTERESTING,0,0,1
30341,C1=CSC(=N1)C=2N=CC=C3C=CC=CC23,218,Z1659902394,125.0,5.0,sRDB,Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; Fragmenstein; JA curated INTERESTING; Knitwork impure merge; Knitwork pure merge; RdRp_knitwork_green_site_rna_tunnel_impure_fragalysis.sdf Pose OK,0,0,1
31378,C=1C=CC(=NC1)C=2C=CC=3NCCCC3C2,219,Z1143356132,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; Knitwork impure merge; JA curated INTERESTING,0,0,1
10384,O=C(O)C1=CC(=CN1)S(=O)(=O)NCC2=NC=CS2,220,Z802607250,125.0,5.0,sRDB,Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Fragmenstein; Knitwork impure merge; Knitwork pure merge; Primer grip/N-pocket merge; Thumb Site 2 merge; Fragmenstein pure merge,0,0,1
14551,CC=1N=CSC1COC(=O)COC=2C=CSC2,221,Z2000307411,125.0,5.0,sRDB,Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Fragmenstein; Knitwork impure merge; Knitwork pure merge; Primer grip/N-pocket merge,0,0,1
54733,CC1=CC(=NN1CC(F)(F)F)NC(=O)NCC(C)O,222,Z9426627949,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; JA curated INTERESTING,0,0,1
26966,CC(O)CNC(=O)NC=1C=CC=C2CN(CC12)C=3C=CC=CN3,223,Z1524104355,125.0,5.0,sRDB,Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; Fragmenstein; JA curated INTERESTING; Knitwork impure merge; Knitwork pure merge; Primer grip/N-pocket merge,0,0,1
62406,FC=1C=CC(=NC1)N2CCOC=3C=CC=CC3C2,224,Z2033642196,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; JA curated INTERESTING,0,0,1
65404,CC(CN1CCCC1=O)NC(=O)C=2C=CC=C3N=CC=CC23,225,Z739203412,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; JA curated INTERESTING,0,0,1
38982,O=C(CN1C=CC=2C=CC(Cl)=CC21)NCC3=CC=4C=CC=CC4O3,226,Z803835968,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; JA curated INTERESTING,0,0,1
55149,CC1=CC(=NN1C=2C=CC=CC2)NC(=O)NCC(C)O,227,Z1581026857,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; JA curated NO; Fragmenstein placed; acceptable; JA curated INTERESTING,0,1,1
5616,CC(NS(=O)(=O)CCCCC#N)C1=NC=CS1,228,Z1168399499,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Knitwork impure merge; Thumb Site 2 merge,0,0,1
63779,CCC(C(=O)OCC=1C=CC2=CC=CC=C2N1)N3CCCC3=O,229,Z1305696087,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; JA curated INTERESTING,0,0,1
1237,CCS(=O)(=O)N(C)C1CCN(CC1)C(=O)CC=2C=CC=NC2,230,Z1178038993,125.0,5.0,sRDB,Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Fragmenstein; Knitwork impure merge; Knitwork pure merge; Cavity B merge; Thumb Site 2 merge,0,0,1
65984,CC=1C=C2C=CC=CC2=C(N1)N3CCCC3C=4C=CC=CN4,231,Z1618161747,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; JA curated INTERESTING,0,0,1
28098,CC=1C=CC(NC(=O)C2=COC=3C=CC=CC23)=C4C=CC=NC14,232,Z1192440996,125.0,5.0,sRDB,Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; Fragmenstein; JA curated INTERESTING; Knitwork impure merge; Knitwork pure merge; RdRp_knitwork_green_site_rna_tunnel_impure_fragalysis.sdf Pose OK,0,0,1
37081,O=C(COC(=O)C1=COC=2C=CC=CC12)C3=CNC4=CC=CC=C34,233,Z1195922141,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; Knitwork impure merge; JA curated INTERESTING,0,0,1
6710,CC(C)C(NS(C)(=O)=O)C=1C=CN=CC1,234,Z1199449998,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; Knitwork impure merge; Thumb Site 2 merge; DF curated INTERESTING,0,0,1
13623,CC(OC=1C=CC=NC1)C(=O)NCC(CO)C=2C=CC=NC2,235,Z2141143935,125.0,5.0,sRDB,Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Fragmenstein; Knitwork impure merge; Knitwork pure merge; Primer grip/N-pocket merge; Thumb Site 2 merge,0,0,1
6527,CCC(NS(=O)(=O)N(C)C)C=1C=CN=CC1,236,Z1271211895,125.0,5.0,sRDB,Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; Knitwork impure merge; Thumb Site 2 merge; AC curated YES; DF curated INTERESTING,1,0,1
17072,CC(NC(C)C1CCCO1)C=2C=CC(=CC2)C=3C=CC=NC3,237,Z1663058060,125.0,5.0,sRDB,Knitwork pure merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Primer grip/N-pocket merge,0,0,1
23249,CN(C)C(=O)CN1C=CC(=N1)NS(=O)(=O)N2CCCCC2,238,Z1265635469,125.0,5.0,sRDB,Knitwork pure merge; AC curated INTERESTING; DF curated NO; Fragmenstein placed; acceptable; Primer grip/N-pocket merge,0,1,1
13403,O=C(CCC(=O)C1=CC=CN1)OC(C=2C=CC=NC2)C(F)(F)F,239,Z1986000898,125.0,5.0,sRDB,Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Fragmenstein; Knitwork impure merge; Knitwork pure merge; Primer grip/N-pocket merge; Thumb Site 2 merge,0,0,1
16150,O=C(NOC1CCOC1)N2CCN(C=3C=CC=NC3)C(=O)C2,240,Z1700699334,125.0,5.0,sRDB,Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; Fragmenstein; Knitwork impure merge; Knitwork pure merge; Primer grip/N-pocket merge; Thumb Site 2 merge; Fragmenstein pure merge,0,0,1
10412,COC(=O)CCN(CC1=CC=CN=C1)S(=O)(=O)C2CCOC2,241,Z1417009149,125.0,5.0,sRDB,Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Fragmenstein; Knitwork impure merge; AC curated YES; Knitwork pure merge; Primer grip/N-pocket merge; Thumb Site 2 merge; Fragmenstein pure merge,1,0,1
1941,CN(C=1C=CC=NC1)S(=O)(=O)CCC2CCCO2,242,Z1420252205,125.0,5.0,sRDB,Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Fragmenstein; Knitwork impure merge; Knitwork pure merge; Primer grip/N-pocket merge; Thumb Site 2 merge,0,0,1
22810,O=C(NCC1CCCO1)C=2C=CN(N2)C3CCCC3,243,Z1431482202,125.0,5.0,sRDB,Green Site/RNA tunnel merge; Knitwork impure merge; DF curated INTERESTING; Fragmenstein placed,0,0,1
65520,O=C1CCCN1C2CCN(C2)C=3C=CN=C4C=C(Br)C=CC34,244,Z1840420190,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; JA curated INTERESTING,0,0,1
53969,CC(O)CNC(=O)NC1=CC=CC(=C1)N2C=C(C=N2)C(F)(F)F,245,Z1732639193,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; JA curated INTERESTING,0,0,1
19954,O=C(CCCC=1C=CC=CC1)NC2=CNN=C2C=3C=CC=CN3,246,Z1451067379,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; Fragmenstein; JA curated INTERESTING; Primer grip/N-pocket merge,0,0,1
35145,CCCN1C=CC2=CC=C(C=C21)NC(=O)NCC(C)O,247,Z1277965182,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; JA curated INTERESTING,0,0,1
20751,CC(CC(=O)NC1=CNN=C1C2=NC=CS2)N3C=CC=C3,248,Z1894109819,125.0,5.0,sRDB,Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; Fragmenstein; Knitwork impure merge; Knitwork pure merge; Primer grip/N-pocket merge; DF curated INTERESTING,0,0,1
17764,CCC(NC(=O)NC=1C=CC(=CN1)OC(F)F)C2CCCO2,249,Z2294828299,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Knitwork impure merge; Primer grip/N-pocket merge,0,0,1
34321,C=1C=NC=C(C1)C2CCCC(C2)NC3CNC=4C=CC=CC4C3,250,Z2476678011,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; JA curated INTERESTING,0,0,1
34509,CC(NC(=O)NC1CNC=2C=CC=CC2C1)C=3C=CC=CN3,251,Z2482192222,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; JA curated INTERESTING,0,0,1
65644,O=C(NCCN1CCCC1=O)C=2C=CN=C3C=CC=CC23,252,Z2484801940,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; JA curated INTERESTING,0,0,1
54207,CC(OC(=O)C1CCC2=CC=CC=C21)C3=CSC=N3,253,Z2498192966,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; JA curated INTERESTING,0,0,1
11581,CC1=CN=C(CNC(C)C2=CN=CS2)N1,254,Z2581859906,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Fragmenstein; Primer grip/N-pocket merge,0,0,1
23189,O=S(=O)(NCC1CCCO1)C=2C=NN(C2)C3CCCC3,255,Z2772250608,125.0,5.0,sRDB,Knitwork pure merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Primer grip/N-pocket merge; DF curated INTERESTING,0,0,2
68987,CC1CCN(C1)S(=O)(=O)N2CC(C2)C=3C=CC=CC3,256,Z2775275268,125.0,5.0,sRDB,Fragmenstein placed; acceptable; Thumb Site 2 merge; Fragmenstein pure merge; DF curated INTERESTING,0,0,1
23087,NCC1CC(CNCC2=CN=CS2)CO1,257,Z2795308372,125.0,5.0,sRDB,Knitwork pure merge; AC curated INTERESTING; DF curated NO; Fragmenstein placed; acceptable; Primer grip/N-pocket merge,0,1,1
22539,CC(CC(=O)NC=1C=NNC1C#N)C2CCCO2,258,Z2817904935,125.0,5.0,sRDB,Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Knitwork impure merge; Knitwork pure merge; Primer grip/N-pocket merge; DF curated INTERESTING,0,0,2
6140,CC(NS(=O)(=O)CBr)C1=CN=CS1,259,Z2895614550,125.0,5.0,sRDB,Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; Knitwork impure merge; Thumb Site 2 merge; DF curated INTERESTING,0,0,1
6445,CCCCN(O)C(=O)C1=CC=CC=N1,260,Z2900667522,125.0,5.0,sRDB,Green Site/RNA tunnel merge; AC curated INTERESTING; DF curated NO; Fragmenstein placed; acceptable; Knitwork impure merge; Thumb Site 2 merge,0,1,1
28654,C=1C=CC(=NC1)C=2C=CC=C3NCCCC23,261,Z2961254665,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; Knitwork impure merge; JA curated INTERESTING,0,0,1
22542,CN1C=C(C=N1)C(=O)CNC(=O)C2CCCO2,262,Z2962156250,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; Knitwork impure merge; DF curated INTERESTING,0,0,1
26114,COCCNC(=O)CN(C)C=1C=CC(=CN1)C=2C=CN=CC2,263,Z2967699957,125.0,5.0,sRDB,Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Knitwork impure merge; Knitwork pure merge; Primer grip/N-pocket merge; Thumb Site 2 merge; Fragmenstein pure merge,0,0,1
34586,O=C(NCC(O)CN1C=CC=N1)NC2CCCC3=CC=CC=C32,264,Z3184028013,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; Knitwork impure merge; JA curated INTERESTING,0,0,1
22777,CC(C)(NCC1=CC=NN1C2CCCC2)C3CCCO3,265,Z3318668420,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; Primer grip/N-pocket merge; DF curated INTERESTING,0,0,1
1569,CC1=CN=C(CC(=O)NCC=2C=CC(=O)NN2)S1,266,Z3336152414,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Thumb Site 2 merge,0,0,1
3859,CC(C)(C(=O)NCCN1CCCC1=O)C=2C=C(C=CN2)C(F)(F)F,267,Z3357687083,125.0,5.0,sRDB,Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; Fragmenstein; JA curated INTERESTING; Knitwork impure merge; Knitwork pure merge; Primer grip/N-pocket merge,0,0,1
9420,O=C(C=CC1=CSC=N1)OCCCCC2CCCO2,268,Z3383153484,125.0,5.0,sRDB,Green Site/RNA tunnel merge; DF curated NO; Fragmenstein placed; acceptable; Fragmenstein; Knitwork impure merge; AC curated YES; Knitwork pure merge; Primer grip/N-pocket merge,1,1,0
18885,CS(=O)(=O)C=1C=CC(=NC1)N2CCC(C2)C3=CC=NN3,269,Z3393866775,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Primer grip/N-pocket merge,0,0,1
35403,CC1=CSC(CN(C)C(=O)C(N)CC2=COC=3C=CC=CC23)=N1,270,Z3550204468,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; RdRp_knitwork_green_site_rna_tunnel_impure_fragalysis.sdf Pose OK; Fragmenstein placed; acceptable; Knitwork impure merge; JA curated INTERESTING,0,0,1
4621,O=C1CCCN1C2CCN(C2)C=3N=CC=CC3OC(F)F,271,Z3558371794,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Knitwork impure merge; Fragmenstein placed; acceptable; Fragmenstein; JA curated INTERESTING,0,0,1
33061,CSC=1C=CN=C(C1)NC(=O)NCC(O)CN2C=CC=N2,272,Z3607059062,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; JA curated INTERESTING,0,0,1
6489,CCCC(NS(=O)(=O)CC(C)(C)C(F)(F)F)C=1C=CC=CN1,273,Z3616715385,125.0,5.0,sRDB,AC curated INTERESTING; Fragmenstein placed; acceptable; Knitwork impure merge; Thumb Site 2 merge,0,0,1
2658,CC(NS(=O)(=O)CC(C)(C)C#N)C=1N=CC=CN1,274,Z3618333085,125.0,5.0,sRDB,Knitwork pure merge; AC curated INTERESTING; Knitwork impure merge; Fragmenstein placed; acceptable; Fragmenstein; Thumb Site 2 merge,0,0,1
2614,CCCN(CCC)S(=O)(=O)NC(C)C=1N=CC=CN1,275,Z3618333376,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; AC curated INTERESTING; Knitwork impure merge; Fragmenstein placed; Fragmenstein,0,0,1
5226,CCOC(=O)CN1N=C(C=CC1=O)C=2C=CC=NC2,276,Z3663805978,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; Knitwork impure merge; Thumb Site 2 merge; DF curated INTERESTING,0,0,1
46078,CC(C)CC=1C=CN=C(C1)NC(=O)NCC(C)O,277,Z3845778601,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; JA curated NO; Fragmenstein placed; acceptable; JA curated INTERESTING,0,1,1
18884,OCC=1C=CN=C(C1)N2CCC(C2)C3=CC=NN3,278,Z3870428392,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Primer grip/N-pocket merge; Fragmenstein pure merge,0,0,1
18620,C=CCNC(=O)C1=CC=C(N=C1)N2CCC(C2)C3=CC=NN3,279,Z3870429174,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Primer grip/N-pocket merge; Fragmenstein pure merge,0,0,1
18861,CNS(=O)(=O)C=1C=CC(=NC1)N2CCC(C2)C3=CC=NN3,280,Z3870429202,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Primer grip/N-pocket merge; Fragmenstein pure merge,0,0,1
65064,CC=1C=CC(=NC1)C(C)NC2=NC=3CCCCC3S2,281,Z4027131602,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; JA curated INTERESTING,0,0,1
26127,O=C(NC1CCC21CNC2)C=3C=CC(=NC3)C=4C=CN=CC4,282,Z4029336495,125.0,5.0,sRDB,Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; Knitwork impure merge; Knitwork pure merge; Primer grip/N-pocket merge; Thumb Site 2 merge; Fragmenstein pure merge; DF curated INTERESTING,0,0,2
13088,COCCN(CC1=CN=CS1)C(=O)CN2C=NC(=C2)C(=O)O,283,Z4173684939,125.0,5.0,sRDB,Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Knitwork pure merge; Primer grip/N-pocket merge; Thumb Site 2 merge; Fragmenstein pure merge,0,0,1
41552,O=C(CC=1C=CN(N1)C2CCCC2)NCCN3CCCC3=O,284,Z4198874180,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; JA curated INTERESTING,0,0,1
18883,CS(=N)(=O)C=1C=CC(=NC1)N2CCC(C2)C3=CC=NN3,285,Z4229960942,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Primer grip/N-pocket merge; Fragmenstein pure merge,0,0,1
23300,CC(CC1=CN=CN1)C(=O)NCC2=NN=C(O2)N3CCCC3,286,Z4236157400,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Primer grip/N-pocket merge,0,0,1
21483,CN(C)S(N)(=O)=NC(=O)C=1C=NN(C)C1N2C=CC=C2,287,Z4259455180,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Primer grip/N-pocket merge,0,0,1
6634,CC(C)CC(C)CS(=O)(=O)NC(C)C=1C=CN=CC1,288,Z4259887894,125.0,5.0,sRDB,Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; Knitwork impure merge; Thumb Site 2 merge; DF curated INTERESTING,0,0,1
5555,C=CCN(C)S(=O)(=O)NC(C)C1=NC=CS1,289,Z4264237159,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; Knitwork impure merge,0,0,1
1504,O=S(=O)(CCC=1C=NOC1)NC(C=2C=CC=NC2)C3CC3,290,Z4267687993,125.0,5.0,sRDB,Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Knitwork impure merge; Knitwork pure merge; Thumb Site 2 merge; DF curated INTERESTING,0,0,2
48666,CN(CCC1NC(=O)NC1=O)C2(CC2)C=3C=CC=NC3,291,Z4274278783,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; JA curated INTERESTING,0,0,1
1453,O=S(=O)(CCC=1C=NOC1)NC(C=2C=CN=CC2)C3CCC3,292,Z4275436706,125.0,5.0,sRDB,AC curated INTERESTING; Fragmenstein placed; acceptable; Knitwork impure merge; Thumb Site 2 merge; DF curated INTERESTING,0,0,2
778,CCS(=O)(=O)NCC=1C=CC(=NC1)N2CCCC=3C=CC=CC32,293,Z4278175298,125.0,5.0,sRDB,Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; Fragmenstein; Knitwork impure merge; Knitwork pure merge; Cavity B merge; Primer grip/N-pocket merge; Thumb Site 2 merge; DF curated INTERESTING,0,0,1
5076,CCCN1C=CC(CNCC2=CC=C3OCCOC3=N2)=N1,294,Z4482323982,125.0,5.0,sRDB,Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Knitwork impure merge; Thumb Site 2 merge,0,0,1
22012,CN1N=CC(C(=O)OCCCCC(C)(F)F)=C1N2C=CC=C2,295,Z4520431970,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; AC curated INTERESTING; Fragmenstein placed; acceptable; Primer grip/N-pocket merge,0,0,1
30886,O=C(NCC(O)CN1C=CC=N1)NC=2C=CC=C(Br)C2,296,Z8314582321,125.0,5.0,sRDB,Knitwork pure merge; Green Site/RNA tunnel merge; Fragmenstein placed; acceptable; JA curated INTERESTING,0,0,1
